s; A
0,000000; 0,052297
0,200000; 0,053844
0,400000; 0,055590
0,600000; 0,057139
0,800000; 0,058945
1,000000; 0,060310
1,200000; 0,062295
1,400000; 0,064028
1,600000; 0,065868
1,800000; 0,067308
2,000000; 0,069120
2,200000; 0,070591
2,400000; 0,072031
2,600000; 0,073985
2,800000; 0,075787
3,000000; 0,077234
3,200000; 0,078899
3,400000; 0,080502
3,600000; 0,081867
3,800000; 0,083632
4,000000; 0,084996
4,200000; 0,086588
4,400000; 0,088065
4,600000; 0,089768
4,800000; 0,091101
5,000000; 0,092522
5,200000; 0,094270
5,400000; 0,095679
5,600000; 0,097266
5,800000; 0,098342
6,000000; 0,099956
6,200000; 0,101468
6,400000; 0,103094
6,600000; 0,104600
6,800000; 0,105660
7,000000; 0,107410
7,200000; 0,108742
7,400000; 0,110101
7,600000; 0,111741
7,800000; 0,113110
8,000000; 0,114587
8,200000; 0,115929
8,400000; 0,117129
8,600000; 0,118408
8,800000; 0,119969
9,000000; 0,121191
9,200000; 0,122744
9,400000; 0,124243
9,600000; 0,125286
9,800000; 0,126914
10,000000; 0,128433
10,200000; 0,129601
10,400000; 0,130894
10,600000; 0,131966
10,800000; 0,133734
11,000000; 0,134905
11,200000; 0,136109
11,400000; 0,137372
11,600000; 0,139083
11,800000; 0,140398
12,000000; 0,141376
12,200000; 0,142685
12,400000; 0,144024
12,600000; 0,145322
12,800000; 0,146776
13,000000; 0,148253
13,200000; 0,149495
13,400000; 0,150506
13,600000; 0,151882
13,800000; 0,153306
14,000000; 0,154211
14,200000; 0,155439
14,400000; 0,156868
14,600000; 0,157942
14,800000; 0,159413
15,000000; 0,160778
15,200000; 0,161452
15,400000; 0,162973
15,600000; 0,164076
15,800000; 0,165514
16,000000; 0,166938
16,200000; 0,167972
16,400000; 0,168882
16,600000; 0,170469
16,800000; 0,171756
17,000000; 0,172948
17,200000; 0,174209
17,400000; 0,175266
17,600000; 0,176629
17,800000; 0,177463
18,000000; 0,179055
18,200000; 0,179914
18,400000; 0,181481
18,600000; 0,182325
18,800000; 0,183566
19,000000; 0,184927
19,200000; 0,186251
19,400000; 0,187290
19,600000; 0,188407
19,800000; 0,189853
20,000000; 0,190741
20,200000; 0,191999
20,400000; 0,193478
20,600000; 0,194366
20,800000; 0,195249
21,000000; 0,196577
21,200000; 0,197796
21,400000; 0,199026
21,600000; 0,200004
21,800000; 0,201048
22,000000; 0,202336
22,200000; 0,203229
22,400000; 0,204595
22,600000; 0,205356
22,800000; 0,207306
23,000000; 0,208050
23,200000; 0,209396
23,400000; 0,210361
23,600000; 0,211364
23,800000; 0,212553
24,000000; 0,213759
24,200000; 0,214631
24,400000; 0,215843
24,600000; 0,217280
24,800000; 0,217826
25,000000; 0,219025
25,200000; 0,220287
25,400000; 0,221425
25,600000; 0,222515
25,800000; 0,223749
26,000000; 0,224709
26,200000; 0,225641
26,400000; 0,227156
26,600000; 0,227987
26,800000; 0,229032
27,000000; 0,230422
27,200000; 0,231084
27,400000; 0,232313
27,600000; 0,233468
27,800000; 0,234519
28,000000; 0,235349
28,200000; 0,236605
28,400000; 0,237717
28,600000; 0,238740
28,800000; 0,239796
29,000000; 0,240831
29,200000; 0,241712
29,400000; 0,242955
29,600000; 0,243857
29,800000; 0,245185
30,000000; 0,245704
30,200000; 0,247070
30,400000; 0,248495
30,600000; 0,249281
30,800000; 0,250434
31,000000; 0,251375
31,200000; 0,252230
31,400000; 0,253328
31,600000; 0,254307
31,800000; 0,255546
32,000000; 0,256604
32,200000; 0,257566
32,400000; 0,258791
32,600000; 0,259595
32,800000; 0,260785
33,000000; 0,261413
33,200000; 0,262575
33,400000; 0,263945
33,600000; 0,264439
33,800000; 0,265518
34,000000; 0,267030
34,200000; 0,267808
34,400000; 0,269137
34,600000; 0,269928
34,800000; 0,270862
35,000000; 0,271965
35,200000; 0,272778
35,400000; 0,273727
35,600000; 0,274829
35,800000; 0,275749
36,000000; 0,276670
36,200000; 0,277593
36,400000; 0,278595
36,600000; 0,279761
36,800000; 0,280409
37,000000; 0,281615
37,200000; 0,282814
37,400000; 0,283717
37,600000; 0,284379
37,800000; 0,285518
38,000000; 0,286183
38,200000; 0,287595
38,400000; 0,288629
38,600000; 0,289178
38,800000; 0,290407
39,000000; 0,291317
39,200000; 0,292473
39,400000; 0,293352
39,600000; 0,294074
39,800000; 0,294955
40,000000; 0,296033
40,200000; 0,297247
40,400000; 0,297487
40,600000; 0,299097
40,800000; 0,299989
41,000000; 0,301294
41,200000; 0,302262
41,400000; 0,303035
41,600000; 0,303404
41,800000; 0,304395
42,000000; 0,305379
42,200000; 0,306565
42,400000; 0,307318
42,600000; 0,308473
42,800000; 0,309138
43,000000; 0,310426
43,200000; 0,311405
43,400000; 0,312213
43,600000; 0,313132
43,800000; 0,314413
44,000000; 0,314764
44,200000; 0,315643
44,400000; 0,316616
44,600000; 0,317879
44,800000; 0,318419
45,000000; 0,319436
45,200000; 0,320754
45,400000; 0,321551
45,600000; 0,321927
45,800000; 0,323244
46,000000; 0,324083
46,200000; 0,324905
46,400000; 0,325955
46,600000; 0,326468
46,800000; 0,327855
47,000000; 0,328751
47,200000; 0,329267
47,400000; 0,330683
47,600000; 0,331604
47,800000; 0,331978
48,000000; 0,332632
48,200000; 0,333557
48,400000; 0,334813
48,600000; 0,335442
48,800000; 0,336840
49,000000; 0,337336
49,200000; 0,338281
49,400000; 0,339296
49,600000; 0,339345
49,800000; 0,341049
50,000000; 0,341579
50,200000; 0,342504
50,400000; 0,344102
50,600000; 0,344478
50,800000; 0,345449
51,000000; 0,346123
51,200000; 0,347087
51,400000; 0,347964
51,600000; 0,348503
51,800000; 0,349773
52,000000; 0,350474
52,200000; 0,351488
52,400000; 0,352454
52,600000; 0,353483
52,800000; 0,354039
53,000000; 0,354312
53,200000; 0,355792
53,400000; 0,356564
53,600000; 0,357613
53,800000; 0,358317
54,000000; 0,359360
54,200000; 0,359371
54,400000; 0,360786
54,600000; 0,361536
54,800000; 0,362463
55,000000; 0,362948
55,200000; 0,363826
55,400000; 0,365017
55,600000; 0,365754
55,800000; 0,366523
56,000000; 0,367628
56,200000; 0,368348
56,400000; 0,369363
56,600000; 0,369709
56,800000; 0,370559
57,000000; 0,371411
57,200000; 0,372507
57,400000; 0,372929
57,600000; 0,373870
57,800000; 0,375131
58,000000; 0,375875
58,200000; 0,376503
58,400000; 0,377526
58,600000; 0,378189
58,800000; 0,379366
59,000000; 0,379473
59,200000; 0,380429
59,400000; 0,381160
59,600000; 0,382065
59,800000; 0,383015
60,000000; 0,383686
