;.\Aae UPO 1-1 10ul 1.Sample.Raw.csv;;.\Aae UPO 1-10 10ul 1.Sample.Raw.csv;;.\Aae UPO 1-10 10ul 2.Sample.Raw.csv;;.\Aae UPO 1-10 10ul 3.Sample.Raw.csv;
;s; A;s; A;s; A;s; A
;;;;;;;;
0;0.0;0.614991;0.0;0.056084;0.0;0.052297;0.0;0.053146000000000006
1;0.2;0.628362;0.2;0.05789;0.2;0.053844;0.2;0.055067
2;0.4;0.640727;0.4;0.05956;0.4;0.05559;0.4;0.05645599999999999
3;0.6;0.653354;0.6;0.061391999999999995;0.6;0.057138999999999995;0.6;0.058141
4;0.8;0.66497;0.8;0.062584;0.8;0.058945000000000004;0.8;0.059458000000000004
5;1.0;0.677607;1.0;0.064184;1.0;0.06031;1.0;0.060953999999999994
6;1.2;0.68909;1.2;0.066077;1.2;0.062295;1.2;0.062553
7;1.4;0.701762;1.4;0.067538;1.4;0.064028;1.4;0.064604
8;1.6;0.713287;1.6;0.069162;1.6;0.065868;1.6;0.065915
9;1.8;0.7261;1.8;0.070881;1.8;0.067308;1.8;0.067637
10;2.0;0.738053;2.0;0.072565;2.0;0.06912;2.0;0.068758
11;2.2;0.7496649999999999;2.2;0.07399;2.2;0.070591;2.2;0.070507
12;2.4;0.7618020000000001;2.4;0.075627;2.4;0.072031;2.4;0.072042
13;2.6;0.773597;2.6;0.077164;2.6;0.07398500000000001;2.6;0.073518
14;2.8;0.785121;2.8;0.07835800000000001;2.8;0.07578700000000001;2.8;0.07525499999999999
15;3.0;0.79752;3.0;0.07991000000000001;3.0;0.077234;3.0;0.076779
16;3.2;0.808178;3.2;0.081024;3.2;0.078899;3.2;0.077999
17;3.4;0.8213219999999999;3.4;0.082478;3.4;0.080502;3.4;0.07952200000000001
18;3.6;0.83195;3.6;0.08429400000000001;3.6;0.081867;3.6;0.081235
19;3.8;0.844374;3.8;0.085273;3.8;0.08363200000000001;3.8;0.082175
20;4.0;0.8558450000000001;4.0;0.087118;4.0;0.084996;4.0;0.084071
21;4.2;0.8671989999999999;4.2;0.088306;4.2;0.086588;4.2;0.08531699999999999
22;4.4;0.8783489999999999;4.4;0.089657;4.4;0.088065;4.4;0.086921
23;4.6;0.890942;4.6;0.09104;4.6;0.089768;4.6;0.088328
24;4.8;0.901442;4.8;0.09268799999999999;4.8;0.091101;4.8;0.089801
25;5.0;0.9126049999999999;5.0;0.094064;5.0;0.09252200000000001;5.0;0.09109
26;5.2;0.9236110000000001;5.2;0.095484;5.2;0.09427;5.2;0.092572
